,Unnamed: 0,xmin,ymin,xmax,ymax,confidence,raw_x,raw_y,x,y,d,r,g,b
774,774,230.625,117.5,261.25,143.0,0.423583984375,245.9375,130.25,212.4470945178953,257.439453125,197,100,117,122
775,775,231.25,117.25,261.75,142.75,0.46240234375,246.5,130.0,212.65601629273502,257.265625,206,103,118,123
776,776,231.0,117.375,262.0,142.625,0.453369140625,246.5,130.0,212.65601629273502,257.265625,206,102,119,124
777,777,233.875,115.25,263.0,142.25,0.76953125,248.4375,128.75,213.37563573940525,256.396484375,207,101,116,121
778,778,234.875,113.25,263.5,141.875,0.75341796875,249.1875,127.5625,213.65419810585826,255.57080078125,215,106,121,125
779,779,234.5,113.625,264.5,142.625,0.6669921875,249.5,128.125,213.770265758547,255.9619140625,213,102,115,126
780,780,235.25,114.0625,265.75,143.0,0.71142578125,250.5,128.53125,214.14168224715095,256.244384765625,221,97,114,119
781,781,236.625,114.875,267.5,142.625,0.669921875,252.0625,128.75,214.72202051059472,256.396484375,218,98,113,121
782,782,238.25,114.125,269.0,141.625,0.50537109375,253.625,127.875,215.30235877403845,255.7880859375,214,100,115,123
783,783,238.75,114.0,269.0,141.625,0.6201171875,253.875,127.8125,215.39521289618946,255.74462890625,215,100,117,122
784,784,239.375,114.375,269.25,141.625,0.6484375,254.3125,128.0,215.5577076099537,255.875,213,97,115,120
785,785,244.75,115.5,274.25,141.75,0.76708984375,259.5,128.625,217.4844306445869,256.3095703125,201,96,114,119
786,786,245.625,114.6875,276.0,141.375,0.461181640625,260.8125,128.03125,217.97191478587962,255.896728515625,212,96,115,120
787,787,245.5,114.625,276.5,141.625,0.458984375,261.0,128.125,218.04155537749287,255.9619140625,216,95,112,118
788,788,245.875,114.6875,276.75,141.375,0.468017578125,261.3125,128.03125,218.1576230301816,255.896728515625,217,94,109,116
789,789,245.75,114.375,276.75,141.5,0.57763671875,261.25,127.9375,218.13440949964385,255.83154296875,217,95,109,117
790,790,246.125,113.625,276.5,140.875,0.77392578125,261.3125,127.25,218.1576230301816,255.353515625,214,98,114,121
791,791,246.125,113.8125,276.0,140.875,0.81787109375,261.0625,127.34375,218.0647689080306,255.418701171875,215,91,109,116
792,792,246.125,113.625,276.5,141.0,0.755859375,261.3125,127.3125,218.1576230301816,255.39697265625,215,96,111,119
793,793,246.125,113.25,276.5,140.75,0.77392578125,261.3125,127.0,218.1576230301816,255.1796875,214,92,110,116
794,794,245.75,112.625,275.75,140.5,0.7763671875,260.75,126.5625,217.94870125534186,254.87548828125,214,93,112,117
795,795,245.625,112.375,276.0,140.375,0.69091796875,260.8125,126.375,217.97191478587962,254.7451171875,214,94,109,117
796,796,246.375,111.9375,276.0,139.875,0.62451171875,261.1875,125.90625,218.11119596910612,254.419189453125,218,91,112,116
797,797,254.5,114.625,282.5,139.25,0.68701171875,268.5,126.9375,220.8271790420228,255.13623046875,223,95,113,118
798,798,254.125,114.25,282.75,140.0,0.689453125,268.4375,127.125,220.80396551148502,255.2666015625,223,95,113,118
799,799,254.25,114.1875,283.75,140.125,0.57373046875,269.0,127.15625,221.01288728632474,255.288330078125,222,97,114,122
800,800,254.5,114.0,284.0,140.25,0.63623046875,269.25,127.125,221.10574140847578,255.2666015625,223,99,116,121
801,801,255.5,113.625,284.5,140.375,0.703125,270.0,127.0,221.38430377492875,255.1796875,223,99,115,123
802,802,256.0,113.0625,284.5,141.0,0.77783203125,270.25,127.03125,221.47715789707976,255.201416015625,220,98,114,122
803,803,258.75,117.25,289.25,141.75,0.4189453125,274.0,129.5,222.86996972934472,256.91796875,210,94,112,117
804,804,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
805,805,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
806,806,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
807,807,269.25,119.3125,301.25,144.125,0.449462890625,285.25,131.71875,227.04840522613955,258.460693359375,214,87,102,110
808,808,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
809,809,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
810,810,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
811,811,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
